question-word,answer-word,guess-word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,interpretations,wrong
haphazardly,randomly,,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,,guess
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,arrest,wrong
concisely,succinctly,positively,wrong
salutes,greetings,,guess
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,apparent,wrong
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,depicted,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,,guess
debate,argument,argument,correct
narrow,thin,clear,wrong
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,prickly,wrong
levied,imposed,,guess
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,muscular,wrong
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,nurse,wrong
essentially,basically,eagerly,wrong
keen,sharp,simple,wrong
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,mysteriously,wrong
hailed,acclaimed,addressed,wrong
command,mastery,mastery,correct
concocted,devised,supervised,wrong
prospective,potential,prominent,wrong
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,photograph,wrong
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,settled,correct
feasible,possible,permitted,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,wrong
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,list,wrong
sufficient,enough,recent,wrong
fashion,manner,ration,wrong
marketed,sold,,guess
bigger,larger,closer,wrong
roots,origins,function,wrong
normally,ordinarily,permanently,wrong
